"negative","level","scope","token_type","decision","replacement","risk","representative_phrases","explanation","status"
"настройка","group_cross","CORV-G01-02","stem-like token","SAFE","","Broad token «настройка» on group_cross/CORV-G01-02 — monitored stem","программист 1с новосибирск; программисты 1с новосибирск","SAFE: no literal collision in owner groups; separates setup groups across directions; representative checks pass for программист 1с новосибирск; программисты 1с новосибирск.","RESOLVED"
"внедрение","group_cross","CORV-G01-02","exact word","SAFE","","Broad token «внедрение» on group_cross/CORV-G01-02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for программист 1с новосибирск; программисты 1с новосибирск.","RESOLVED"
"программист","group_cross","CORV-G01-07","stem-like token","SAFE","","Broad token «программист» on group_cross/CORV-G01-07 — monitored stem","абонентское обслуживание 1с; абонентское сопровождение 1с; абонентское сопровождение 1с первый бит","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for абонентское обслуживание 1с; абонентское сопровождение 1с; абонентское сопровождение 1с первый бит.","RESOLVED"
"доработка","group_cross","CORV-G01-07","stem-like token","SAFE","","Broad token «доработка» on group_cross/CORV-G01-07 — monitored stem","абонентское обслуживание 1с; абонентское сопровождение 1с; абонентское сопровождение 1с первый бит","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for абонентское обслуживание 1с; абонентское сопровождение 1с; абонентское сопровождение 1с первый бит.","RESOLVED"
"маркировка","group_cross","CORV-G01-07","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G01-07 — monitored stem","абонентское обслуживание 1с; абонентское сопровождение 1с; абонентское сопровождение 1с первый бит","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for абонентское обслуживание 1с; абонентское сопровождение 1с; абонентское сопровождение 1с первый бит.","RESOLVED"
"настройка","group_cross","CORV-G01-07","stem-like token","SAFE","","Broad token «настройка» on group_cross/CORV-G01-07 — monitored stem","абонентское обслуживание 1с; абонентское сопровождение 1с; абонентское сопровождение 1с первый бит","SAFE: no literal collision in owner groups; separates setup groups across directions; representative checks pass for абонентское обслуживание 1с; абонентское сопровождение 1с; абонентское сопровождение 1с первый бит.","RESOLVED"
"разов","group_cross","CORV-G01-07","stem-like token","SAFE","","Broad token «разов» on group_cross/CORV-G01-07 — monitored stem","абонентское обслуживание 1с; абонентское сопровождение 1с; абонентское сопровождение 1с первый бит","SAFE: no literal collision in owner groups; separates one-off works CORV-G01-08; representative checks pass for абонентское обслуживание 1с; абонентское сопровождение 1с; абонентское сопровождение 1с первый бит.","RESOLVED"
"программист","group_cross","CORV-G01-06","stem-like token","SAFE","","Broad token «программист» on group_cross/CORV-G01-06 — monitored stem","обслуживание 1с для организации; обслуживание и сопровождение 1с; сопровождение и обслуживание 1с предприятие","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for обслуживание 1с для организации; обслуживание и сопровождение 1с; сопровождение и обслуживание 1с предприятие.","RESOLVED"
"доработка","group_cross","CORV-G01-06","stem-like token","SAFE","","Broad token «доработка» on group_cross/CORV-G01-06 — monitored stem","обслуживание 1с для организации; обслуживание и сопровождение 1с; сопровождение и обслуживание 1с предприятие","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for обслуживание 1с для организации; обслуживание и сопровождение 1с; сопровождение и обслуживание 1с предприятие.","RESOLVED"
"маркировка","group_cross","CORV-G01-06","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G01-06 — monitored stem","обслуживание 1с для организации; обслуживание и сопровождение 1с; сопровождение и обслуживание 1с предприятие","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for обслуживание 1с для организации; обслуживание и сопровождение 1с; сопровождение и обслуживание 1с предприятие.","RESOLVED"
"абонент","group_cross","CORV-G01-06","exact word","SAFE","","Broad token «абонент» on group_cross/CORV-G01-06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for обслуживание 1с для организации; обслуживание и сопровождение 1с; сопровождение и обслуживание 1с предприятие.","RESOLVED"
"настройка","group_cross","CORV-G01-06","stem-like token","SAFE","","Broad token «настройка» on group_cross/CORV-G01-06 — monitored stem","обслуживание 1с для организации; обслуживание и сопровождение 1с; сопровождение и обслуживание 1с предприятие","SAFE: no literal collision in owner groups; separates setup groups across directions; representative checks pass for обслуживание 1с для организации; обслуживание и сопровождение 1с; сопровождение и обслуживание 1с предприятие.","RESOLVED"
"внедрение","group_cross","CORV-G01-06","exact word","SAFE","","Broad token «внедрение» on group_cross/CORV-G01-06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for обслуживание 1с для организации; обслуживание и сопровождение 1с; сопровождение и обслуживание 1с предприятие.","RESOLVED"
"программист","group_cross","CORV-G01-05","stem-like token","SAFE","","Broad token «программист» on group_cross/CORV-G01-05 — monitored stem","асп сопровождение 1с; договор сопровождения 1с; информационно технологическое сопровождение 1с; информационное сопровождение 1с; казначейское сопровождение в 1с","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for асп сопровождение 1с; договор сопровождения 1с; информационно технологическое сопровождение 1с.","RESOLVED"
"доработка","group_cross","CORV-G01-05","stem-like token","SAFE","","Broad token «доработка» on group_cross/CORV-G01-05 — monitored stem","асп сопровождение 1с; договор сопровождения 1с; информационно технологическое сопровождение 1с; информационное сопровождение 1с; казначейское сопровождение в 1с","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for асп сопровождение 1с; договор сопровождения 1с; информационно технологическое сопровождение 1с.","RESOLVED"
"маркировка","group_cross","CORV-G01-05","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G01-05 — monitored stem","асп сопровождение 1с; договор сопровождения 1с; информационно технологическое сопровождение 1с; информационное сопровождение 1с; казначейское сопровождение в 1с","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for асп сопровождение 1с; договор сопровождения 1с; информационно технологическое сопровождение 1с.","RESOLVED"
"не работает","group_cross","CORV-G01-05","phrase","REMOVE","","Exchange-failure group must not minus core symptom «не работает»","не работает синхронизация 1с; не работает синхронизация 1с 8.3; после обновления 1с не работает синхронизация; почему не работает синхронизация в 1с","Regression REG-02: Exchange-failure group must not minus core symptom «не работает»","RESOLVED"
"абонент","group_cross","CORV-G01-05","exact word","SAFE","","Broad token «абонент» on group_cross/CORV-G01-05 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for асп сопровождение 1с; договор сопровождения 1с; информационно технологическое сопровождение 1с.","RESOLVED"
"настройка","group_cross","CORV-G01-05","stem-like token","SAFE","","Broad token «настройка» on group_cross/CORV-G01-05 — monitored stem","асп сопровождение 1с; договор сопровождения 1с; информационно технологическое сопровождение 1с; информационное сопровождение 1с; казначейское сопровождение в 1с","SAFE: no literal collision in owner groups; separates setup groups across directions; representative checks pass for асп сопровождение 1с; договор сопровождения 1с; информационно технологическое сопровождение 1с.","RESOLVED"
"внедрение","group_cross","CORV-G01-05","exact word","SAFE","","Broad token «внедрение» on group_cross/CORV-G01-05 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for асп сопровождение 1с; договор сопровождения 1с; информационно технологическое сопровождение 1с.","RESOLVED"
"разов","group_cross","CORV-G01-05","stem-like token","SAFE","","Broad token «разов» on group_cross/CORV-G01-05 — monitored stem","асп сопровождение 1с; договор сопровождения 1с; информационно технологическое сопровождение 1с; информационное сопровождение 1с; казначейское сопровождение в 1с","SAFE: no literal collision in owner groups; separates one-off works CORV-G01-08; representative checks pass for асп сопровождение 1с; договор сопровождения 1с; информационно технологическое сопровождение 1с.","RESOLVED"
"настройка","group_cross","CORV-G01-04","stem-like token","SAFE","","Broad token «настройка» on group_cross/CORV-G01-04 — monitored stem","внедрение 1с; внедренцы и программисты 1с","SAFE: no literal collision in owner groups; separates setup groups across directions; representative checks pass for внедрение 1с; внедренцы и программисты 1с.","RESOLVED"
"сопровождение","group_cross","CORV-G01-04","exact word","SAFE","","Broad token «сопровождение» on group_cross/CORV-G01-04 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for внедрение 1с; внедренцы и программисты 1с.","RESOLVED"
"маркировка","group_cross","CORV-G01-04","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G01-04 — monitored stem","внедрение 1с; внедренцы и программисты 1с","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for внедрение 1с; внедренцы и программисты 1с.","RESOLVED"
"доработка","group_cross","CORV-G01-04","stem-like token","SAFE","","Broad token «доработка» on group_cross/CORV-G01-04 — monitored stem","внедрение 1с; внедренцы и программисты 1с","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for внедрение 1с; внедренцы и программисты 1с.","RESOLVED"
"внедрение","group_cross","CORV-G01-03","exact word","SAFE","","Broad token «внедрение» on group_cross/CORV-G01-03 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for настройка 1с; программист 1с настройка.","RESOLVED"
"маркировка","group_cross","CORV-G01-03","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G01-03 — monitored stem","настройка 1с; программист 1с настройка","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for настройка 1с; программист 1с настройка.","RESOLVED"
"интеграция","group_cross","CORV-G01-03","stem-like token","SAFE","","Broad token «интеграция» on group_cross/CORV-G01-03 — monitored stem","настройка 1с; программист 1с настройка","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for настройка 1с; программист 1с настройка.","RESOLVED"
"доработка","group_cross","CORV-G01-03","stem-like token","SAFE","","Broad token «доработка» on group_cross/CORV-G01-03 — monitored stem","настройка 1с; программист 1с настройка","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for настройка 1с; программист 1с настройка.","RESOLVED"
"сопровождение","group_cross","CORV-G01-03","exact word","SAFE","","Broad token «сопровождение» on group_cross/CORV-G01-03 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for настройка 1с; программист 1с настройка.","RESOLVED"
"разов","group_cross","CORV-G01-03","stem-like token","SAFE","","Broad token «разов» on group_cross/CORV-G01-03 — monitored stem","настройка 1с; программист 1с настройка","SAFE: no literal collision in owner groups; separates one-off works CORV-G01-08; representative checks pass for настройка 1с; программист 1с настройка.","RESOLVED"
"маркировка","group_cross","CORV-G01-08","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G01-08 — monitored stem","1с программист без образования; ищу 1с программиста для разовой задачи; образование программист 1с; программист 1с без высшего образования; программист 1с высшее образование","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с программист без образования; ищу 1с программиста для разовой задачи; образование программист 1с.","RESOLVED"
"сопровождение","group_cross","CORV-G01-08","exact word","SAFE","","Broad token «сопровождение» on group_cross/CORV-G01-08 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с программист без образования; ищу 1с программиста для разовой задачи; образование программист 1с.","RESOLVED"
"абонент","group_cross","CORV-G01-08","exact word","SAFE","","Broad token «абонент» on group_cross/CORV-G01-08 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с программист без образования; ищу 1с программиста для разовой задачи; образование программист 1с.","RESOLVED"
"настройка","group_cross","CORV-G01-08","stem-like token","SAFE","","Broad token «настройка» on group_cross/CORV-G01-08 — monitored stem","1с программист без образования; ищу 1с программиста для разовой задачи; образование программист 1с; программист 1с без высшего образования; программист 1с высшее образование","SAFE: no literal collision in owner groups; separates setup groups across directions; representative checks pass for 1с программист без образования; ищу 1с программиста для разовой задачи; образование программист 1с.","RESOLVED"
"внедрение","group_cross","CORV-G01-08","exact word","SAFE","","Broad token «внедрение» on group_cross/CORV-G01-08 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с программист без образования; ищу 1с программиста для разовой задачи; образование программист 1с.","RESOLVED"
"новосибирск","group_cross","CORV-G01-01","exact word","SAFE","","Broad token «новосибирск» on group_cross/CORV-G01-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с программист 2026 стать; задание программисту 1с; задачи 1с программиста.","RESOLVED"
"сопровождение","group_cross","CORV-G01-01","exact word","SAFE","","Broad token «сопровождение» on group_cross/CORV-G01-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с программист 2026 стать; задание программисту 1с; задачи 1с программиста.","RESOLVED"
"доработка","group_cross","CORV-G01-01","stem-like token","SAFE","","Broad token «доработка» on group_cross/CORV-G01-01 — monitored stem","1с программист 2026 стать; задание программисту 1с; задачи 1с программиста; найти программиста 1с; нужен программист 1с","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for 1с программист 2026 стать; задание программисту 1с; задачи 1с программиста.","RESOLVED"
"маркировка","group_cross","CORV-G01-01","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G01-01 — monitored stem","1с программист 2026 стать; задание программисту 1с; задачи 1с программиста; найти программиста 1с; нужен программист 1с","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с программист 2026 стать; задание программисту 1с; задачи 1с программиста.","RESOLVED"
"не работает","group_cross","CORV-G01-01","phrase","REMOVE","","Exchange-failure group must not minus core symptom «не работает»","не работает синхронизация 1с; не работает синхронизация 1с 8.3; после обновления 1с не работает синхронизация; почему не работает синхронизация в 1с","Regression REG-02: Exchange-failure group must not minus core symptom «не работает»","RESOLVED"
"настройка","group_cross","CORV-G01-01","stem-like token","SAFE","","Broad token «настройка» on group_cross/CORV-G01-01 — monitored stem","1с программист 2026 стать; задание программисту 1с; задачи 1с программиста; найти программиста 1с; нужен программист 1с","SAFE: no literal collision in owner groups; separates setup groups across directions; representative checks pass for 1с программист 2026 стать; задание программисту 1с; задачи 1с программиста.","RESOLVED"
"внедрение","group_cross","CORV-G01-01","exact word","SAFE","","Broad token «внедрение» on group_cross/CORV-G01-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с программист 2026 стать; задание программисту 1с; задачи 1с программиста.","RESOLVED"
"абонент","group_cross","CORV-G01-01","exact word","SAFE","","Broad token «абонент» on group_cross/CORV-G01-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с программист 2026 стать; задание программисту 1с; задачи 1с программиста.","RESOLVED"
"разов","group_cross","CORV-G01-01","stem-like token","SAFE","","Broad token «разов» on group_cross/CORV-G01-01 — monitored stem","1с программист 2026 стать; задание программисту 1с; задачи 1с программиста; найти программиста 1с; нужен программист 1с","SAFE: no literal collision in owner groups; separates one-off works CORV-G01-08; representative checks pass for 1с программист 2026 стать; задание программисту 1с; задачи 1с программиста.","RESOLVED"
"вакансия","phrase_inline","CORV-G01-01","exact word","SAFE","","Broad token «вакансия» on phrase_inline/CORV-G01-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с программист 2026 стать; задание программисту 1с; задачи 1с программиста.","RESOLVED"
"обучение","phrase_inline","CORV-G01-01","exact word","SAFE","","Broad token «обучение» on phrase_inline/CORV-G01-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с программист 2026 стать; задание программисту 1с; задачи 1с программиста.","RESOLVED"
"курсы","phrase_inline","CORV-G01-01","exact word","SAFE","","Broad token «курсы» on phrase_inline/CORV-G01-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с программист 2026 стать; задание программисту 1с; задачи 1с программиста.","RESOLVED"
"резюме","phrase_inline","CORV-G01-01","exact word","SAFE","","Broad token «резюме» on phrase_inline/CORV-G01-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с программист 2026 стать; задание программисту 1с; задачи 1с программиста.","RESOLVED"
"как стать","phrase_inline","CORV-G01-01","phrase","SAFE","","Broad token «как стать» on phrase_inline/CORV-G01-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с программист 2026 стать; задание программисту 1с; задачи 1с программиста.","RESOLVED"
